channel,state,mean,std,max,min,anomaly_count,power_delta,power_theta,power_alpha,power_beta
Fp1,active,0.030130839075013335,0.37027376477780793,3.519169167916791,-0.7285632522001649,150,0.002822532143666739,0.005712244996774365,0.022476999113396862,0.1145700615007256
Fp2,active,0.029221312816345973,0.3737273653299614,3.487981599357748,-0.7803017749845584,150,0.010965198903033853,0.01564166553075779,0.03895682675889605,0.08612749153999698
C3,active,0.002283526125971523,0.2532951674523336,5.218625160136906,-0.7964364341893595,12,0.003470769689316614,0.006394326821746695,0.0095436602203199,0.05128468581413042
C4,active,-0.0003882142294660685,0.23785644180535984,0.7257870646360741,-0.8026444096274146,3,0.005260357703628817,0.004470297707211379,0.011598643790668675,0.03651349097788925
